Name,Address,Website,Phone Number,Image URL
Amhurst Hotel,"45 Amhurst Park, London, N16 5DL",amhursthotel.co.uk,020 3597 3113 ,"https://c.yell.com/t_bigSquare,f_auto/792afeb9-b97c-46a9-b5a9-26c10f42adc7_image_jpeg.jpg"
Amhurst Hotel,"45 Amhurst Park, London, N16 5DL",amhursthotel.co.uk,020 7101 2135 ,"https://c.yell.com/t_bigSquare,f_auto/792afeb9-b97c-46a9-b5a9-26c10f42adc7_image_jpeg.jpg"
The Whitechapel Hotel,"49-53 New Rd, London, E1 1HH",thewhitechapelhotel.com,02033194175 ,"https://c.yell.com/t_bigRect,f_auto/2be647e8-5b5d-4433-8c37-5e632f12bfab_image_jpeg.jpg"
Trafalgar Hotel,"2 Spring Gardens, London, SW1A 2TS",hilton.com,020 7870 2900 ,"https://c.yell.com/t_bigRect,f_auto/92a736e0-1f9e-49cb-8152-c8b1e5d52580_image_jpeg.jpg"
"St Martin's Lane London, A House Of Originals Hotel","45 St. Martin's Lane, London, WC2N 4HX",all.accor.com,020 7300 5500 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
www.athensplazaluxurysapartments.com,"57 Trafalgar Square, London, WC2N 5DU",athensplazaluxurysapartments.com,0800 030 4238 ,"https://c.yell.com/t_bigSquare,f_auto/ebaef735-fa8d-407e-809d-387981237177_image_jpeg.jpg"
Corinthia Hotel,"Whitehall Place, London, SW1A 2BD",corinthia.com,020 7930 8181 ,"https://c.yell.com/t_bigSquare,f_auto/63bc2cb2-584f-4ea3-8a2f-02f4448d7fc6_image_jpeg.jpg"
Amistad Hotel Marketing Partnership Ltd,"Golden Cross House Duncannon St, London, WC2N 4JF",amistadpartners.com,020 7484 5000 ,"https://c.yell.com/t_bigSquare,f_auto/79cfc872-c72d-4b5e-9fb3-bb997a7ecc67_image_jpeg.jpg"
"Club Quarters Hotel, London, Trafalgar Square","8 Northumberland Avenue, London, WC2N 5BY",,020 7839 9333 ,"https://c.yell.com/t_bigRect,f_auto/3cdffb2d-0249-443b-9582-1a254b6a1c08_image_jpeg.jpg"
The Savoy Hotel,"Strand, London, WC2R 0EZ",thesavoylondon.com,020 7836 4343 ,"https://c.yell.com/t_bigSquare,f_auto/06d6615f-6053-420f-9b60-b3f42cfce01f_image_jpeg.jpg"
Hub By Premier Inn London Covent Garden,"110 St. Martin's Lane, London, WC2N 4BA",premierinn.com,0333 321 3104 ,"https://c.yell.com/t_bigRect,f_auto/e5b0a43b-e7a1-44fa-b9ee-ac62376fe08f_image_jpeg.jpg"
The Grand at Trafalgar Square,"8 Trafalgar Square, London, WC2N 5BY",thegrandattrafalgarsquare.com,020 7451 5555 ,"https://c.yell.com/t_bigSquare,f_auto/713ba855-2bf8-4948-8108-7ff8b48e81ef_image_jpeg.jpg"
"The Corinthia Hotel Ltd,","10 Northumberland Avenue, London, WC2N 5AE",corinthia.com,0843 8161328 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Amba Charing Cross Hotel,"38 Craven St, London, WC2N 5NG",amba-hotel.com,020 7839 7282 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Club Quarters Trafalgar Square,"8 Northumberland Avenue, London, WC2N 5BY",,0845 4566399 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Radisson Blue Edwardian Leicester Square,"3-6 St. Martins St, London, WC2H 7HL",radissonedwardian.com,020 7930 8641 ,"https://c.yell.com/t_bigSquare,f_auto/ffd59d96-02d7-4752-94a9-85406282335d_image_jpeg.jpg"
Snoozebox Holdings plc,"60 Trafalgar Square, London, WC2N 5DS",snoozebox.com,03450 920174 ,"https://c.yell.com/t_bigSquare,f_auto/53b92708-9632-473b-b1f8-8a7557e303c3_image_jpeg.jpg"
The Grand at Trafalgar Square,"8 Northumberland Avenue, London, WC2N 5BY",,0845 0805104 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Haymarket Hotel,"1 Suffolk Place, London, SW1Y 4HX",haymarkethotel.com,020 7470 4000 ,"https://c.yell.com/t_bigSquare,f_auto/20dce6a7-c9aa-4d11-85bd-16925b6bf47d_image_jpeg.jpg"
Citadines Apart'hotel Trafalgar,"18-21, Northumberland Avenue, London, WC2N 5EA",,0845 4566399 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
"Radisson Blu Edwardian, Hampshire","31-36 Leicester Square, London, WC2H 7LH",radissonblu-edwardian.com,020 7839 9399 ,"https://c.yell.com/t_bigRect,f_auto/f9ea61d9-f995-4c8a-a67e-7b235a40253b_image_jpeg.jpg"
Assembly Hotel London,"27-31 Charing Cross Rd, London, WC2H 0QE",assemblyhotel.com,020 3953 4251 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Amistad Partners,"Trafalgar Square, London, WC2N 5DU",amistadpartners.com,020 7946 0835 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Victory House Hotel London,"14 Leicester Place, London, WC2H 7BZ",victoryhouselondon.com,020 3909 4100 ,"https://c.yell.com/t_bigSquare,f_auto/cf73df89-531c-4056-b6df-fcac8bc5b831_image_jpeg.jpg"
Club Quarters,"8 Northumberland Avenue, London, WC2N 5BY",clubquarters.com,020 7451 5600 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Normandie Hotel,"96 Sussex Gardens, London, W2 1UH",normandie-hotel-london.com,020 3031 6984 ,"https://c.yell.com/t_bigSquare,f_auto/3c6ea713-57b6-489f-850b-a9ae4fb2fe54_image_jpeg.jpg"
Hotel Sofitel London St James,"6 Waterloo Place, London, SW1Y 4AN",all.accor.com,020 7747 2200 ,"https://c.yell.com/t_bigRect,f_auto/50c87478-bba6-48df-ac51-3838b9d0106d_image_jpeg.jpg"
Royal Horseguards Hotel,"2 Whitehall Court, London, SW1A 2EJ",guoman.com,020 7839 3400 ,"https://c.yell.com/t_bigSquare,f_auto/5c231790-9667-493d-82d5-9861fbf3baba_image_jpeg.jpg"
Every Hotel Piccadilly,"39A Coventry Street, Chinatown, LONDON, W1D 6BZ",every-hotels.com,0871 376 9031 ,"https://c.yell.com/t_bigSquare,f_auto/fe5d0e56-daa8-4cfe-bfc2-31f4c7946649_image_jpeg.jpg"
Thistle Trafalgar Hotels,"Whitcomb St, Trafalgar Square, London, WC2H 7HG",thistle.com,0871 376 9037 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Hotel Indigo London - 1 Leicester Square,"1 Leicester Square, London, WC2H 7NA",ihg.com,020 3953 4200 ,"https://c.yell.com/t_bigRect,f_auto/9f0571dd-473b-4b90-974a-3d56a26203d2_image_png.png"
Z Hotels,"Grove House, 2, Orange St, London, WC2H 7DF",thezhotels.com,020 3551 3720 ,"https://c.yell.com/t_bigSquare,f_auto/1c48f825-3fa0-40c3-a4db-07e3bdbc1c07_image_jpeg.jpg"
Le Meridien Piccadilly,"21 Piccadilly, London, W1J 0BH",marriott.com,020 7734 8000 ,"https://c.yell.com/t_bigRect,f_auto/ddf2f2d8-0c54-47b3-983a-e529bb5350ce_image_jpeg.jpg"
The Resident,"51 Bedford St, London, WC2R 0PZ",residenthotels.com,020 3146 1790 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Royal Horse Guard Hotel,"2 Whitehall Place, Westminster, London, W1A 2HD",theroyalhorseguards.com,020 7839 3344 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Nadler,"51 Bedford Street, Charing Cross, LONDON, WC2R 0PZ",nadlerhotels.com,020 3146 1790 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Fielding Hotel,"4 Broad Court, London, WC2B 5QZ",thefieldinghotel.co.uk,020 7836 8305 ,"https://c.yell.com/t_bigSquare,f_auto/cec480c9-dea6-4980-92e9-c80f8a4e50cf_image_jpeg.jpg"
Premier Inn,"Queens House 1 Leicester Place, London, WC2H 7BP",premierinn.com,0333 321 9254 ,"https://c.yell.com/t_bigRect,f_auto/f0156f54-cced-4c37-a210-5d8099c3754c_image_jpeg.jpg"
Z Hotels,"2-6 Orange Street, Chinatown, LONDON, WC2H 7ED",thezhotels.com,020 3551 3720 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Strand Palace,"372 Strand, London, WC2R 0JJ",strandpalacehotel.co.uk,020 7379 4737 ,"https://c.yell.com/t_bigRect,f_auto/7437e210-5bd1-4893-8922-34f62576a1b8_image_jpeg.jpg"
W London,"10 Wardour St, London, W1D 6QF",marriott.com,020 7758 1000 ,"https://c.yell.com/t_bigRect,f_auto/917c683b-a1d0-4dc7-8023-53fff398712b_image_jpeg.jpg"
1 2 1 2,"2 Whitehall Court, London, SW1A 2EJ",theroyalhorseguards.com,020 7451 9333 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Premier Inn London County Hall hotel,"County Hall Belvedere Road, Westminster, London, SE1 7PB",premierinn.com,0333 321 1246 ,"https://c.yell.com/t_bigRect,f_auto/6965e4b8-c54a-421c-a08d-aa9538a7e0ed_image_jpeg.jpg"
Brumus Bar & Restaurant,"1 Suffolk Place, London, SW1Y 4HX",brumus.com,020 7451 1007 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Thistle Hotels (UK) Ltd,"39 Coventry St, London, W1D 6BZ",thistle.com,020 7930 4033 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Ritz London,"150 Piccadilly, Westminster, London, W1J 9BR",theritzlondon.com,020 7493 8181 ,"https://c.yell.com/t_bigRect,f_auto/1476c554-e0ff-4c10-b984-6926f29c0f4b_image_jpeg.jpg"
Sofitel London St James,"6 Waterloo Place, London, SW1Y 4AN",sofitel.com,0845 4566399 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Leicester House,"1 Leicester St, London, WC2H 7BL",leicesterhouse.com,020 3696 6460 ,"https://c.yell.com/t_bigSquare,f_auto/094632c4-d9dc-4743-9608-232220e181e8_image_jpeg.jpg"
The Piccadilly West End Hotel,"65-73 Shaftesbury Avenue, Piccadilly, London, W1D 6EX",thepiccadillywestend.co.uk,020 7871 6000 ,"https://c.yell.com/t_bigSquare,f_auto/690d3808-4197-404e-9084-1e7fe3af55ec_image_jpeg.jpg"
So Spa Within Sofitel St James Hotel,"6 Waterloo Place, London, SW1Y 4AN",sofitelstjames.com,020 7747 2204 ,"https://c.yell.com/t_bigSquare,f_auto/acae6525-c361-44c1-bb1f-4e63ab504430_image_jpeg.jpg"
Thistle Piccadilly,"Coventry Street, London, W1D 6BZ",thistlehotels.com,0845 0805104 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Soho Hotel,"4 Richmond Mews, London, W1D 3DH",sohohotel.com,020 7559 3000 ,"https://c.yell.com/t_bigSquare,f_auto/4adfe258-e905-421b-841f-bb82c6a4ca9d_image_jpeg.jpg"
The Cavendish,"81 Jermyn St, London, SW1Y 6JF",thecavendishlondon.com,020 7930 2111 ,"https://c.yell.com/t_bigSquare,f_auto/01a89a44-1b4f-42f4-b60b-14e6a94ba8fb_image_jpeg.jpg"
Hotel Strand Continental,"143 Strand, London, WC2R 1JA",strand-continental.co.uk,020 7836 4880 ,"https://c.yell.com/t_bigSquare,f_auto/a14619b2-d739-41f2-8934-f8a973f58e61_image_jpeg.jpg"
Campbell Gray Hotels Ltd,"353 Strand, London, WC2R 0HS",campbellgrayhotels.com,020 7395 1660 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
"Radisson Blu Edwardian, Mercer Street","20 Mercer St, London, WC2H 9HD",radissonblu-edwardian.com,020 7836 4300 ,"https://c.yell.com/t_bigRect,f_auto/750164e9-d97b-48e5-87e3-344e14e1c098_image_jpeg.jpg"
1even Dials Hotel,"7 Monmouth St, London, WC2H 9DA",hotelslondon.me.uk,020 7240 0823 ,"https://c.yell.com/t_bigSquare,f_auto/a3d079ed-68cf-46a0-928d-738b917e6e52_image_jpeg.jpg"
Fairmont Hotels & Resorts,"1 Savoy Hill, London, WC2R 0BP",fairmont.com,0845 0710170 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
ME London,"336-337 Strand, London, WC2R 1HA",mebymelia.com,020 7395 3400 ,"https://c.yell.com/t_bigSquare,f_auto/baa03ced-e520-4e14-b1df-6b53210ff154_image_jpeg.jpg"
Kettner's Townhouse,"29 Romilly Street, Chinatown, LONDON, W1D 5HP",sohohouse.com,020 7734 5650 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Hazlitt's Hotel,"6 Frith St, London, W1D 3JA",hazlittshotel.com,020 7434 1771 ,"https://c.yell.com/t_bigSquare,f_auto/1bb5518b-340e-4eab-a94d-838bda52f858_image_jpeg.jpg"
Ham Yard Hotel,"1-2 Ham Yard, LONDON, W1D 7DT",firmdale.com,020 3642 2000 ,"https://c.yell.com/t_bigSquare,f_auto/2d661c80-3e2b-4132-8ed4-4c9f065ff85d_image_jpeg.jpg"
Brasserie Max within the Covent Garden Hotel,"10 Monmouth St, London, WC2H 9HB",coventgardenhotel.co.uk,020 7806 1000 ,"https://c.yell.com/t_bigSquare,f_auto/bb7aafa1-6eeb-4539-a34e-ec3e9902e4bb_image_jpeg.jpg"
The Leading Hotels of The World,"68A Regent Street, Soho, LONDON, W1B 5RJ",lhw.com,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
One Aldwych Hotel,"1 Aldwych, London, WC2B 4BZ",onealdwych.com,020 7300 1000 ,"https://c.yell.com/t_bigSquare,f_auto/ded40fd8-411d-4bfc-8eca-11a7d3dfc8dd_image_jpeg.jpg"
The Green Bar Cafe Royal Hotel,"68 Regent St, London, W1B 5RL",hotelcaferoyal.com,020 7406 3310 ,"https://c.yell.com/t_bigSquare,f_auto/ca07dabb-95c8-4b4f-a692-7d588da9abb1_image_jpeg.jpg"
Dean Street Townhouse,"69-71 Dean St, London, W1D 3SE",deanstreettownhouse.com,020 7434 1775 ,"https://c.yell.com/t_bigSquare,f_auto/34f43240-49dd-4197-8ace-2785ca6b0ca9_image_jpeg.jpg"
Cheshire Hotel,"110 Great Russell St, London, WC1B 3NA",cheshirehotel.co.uk,020 7637 7777 ,"https://c.yell.com/t_bigSquare,f_auto/f9149330-e2bb-43e8-bc8b-4375548c1828_image_jpeg.jpg"
Valet Golden Square Apartments Piccadilly,"9 Golden Square, LONDON, W1F 9HZ",bespokehotels.com,020 7206 2363 ,"https://c.yell.com/t_bigSquare,f_auto/9a838f2e-3fda-453a-9cbc-8af90c76f3e3_image_jpeg.jpg"
The Covent Garden Hotel,"10 Monmouth St, London, WC2H 9LF",procleanerslondon.com,020 7806 1000 ,"https://c.yell.com/t_bigSquare,f_auto/a9a419de-5f9c-4757-a7c0-53cdca7a58fc_image_jpeg.jpg"
PPE 1 Stop,"71-75 Shelton St, London, WC2H 9JQ",,020 8575 2408 ,"https://c.yell.com/t_bigRect,f_auto/59f3cc58-bca7-4b9b-a2da-21e240f66c3d_image_jpeg.jpg"
Firmdale Hotels Plc,"21 Golden Square, London, W1F 9JN",firmdalehotels.com,020 7581 4045 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Mimi's,"56 Frith Street, Soho, LONDON, W1D 3JG",mimishotelsoho.com,020 8017 9100 ,"https://c.yell.com/t_bigSquare,f_auto/a69c60d6-84df-49b1-8134-6896d5f7f0ef_image_jpeg.jpg"
The Nadler Soho,"10 Carlisle St, London, W1D 3BR",thenadler.com,020 3697 3697 ,"https://c.yell.com/t_bigSquare,f_auto/fffe8f7e-da9b-4d6e-ae0c-4cc7983c0f6c_image_png.png"
Travelodge Hotels Ltd,"10 Drury Lane, High Holborn, London, WC2B 5RE",travelodge.co.uk,0871 984 6245 ,"https://c.yell.com/t_bigSquare,f_auto/9f03058c-da2e-4275-85d2-71d37b01a2e2_image_jpeg.jpg"
Cafe Royal,"68 Regent St, London, W1B 4DY",hotelcaferoyal.com,020 7406 3333 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Fly Dreams,"71-75 Shelton St, London, WC2H 9JQ",flydreams.co.uk,020 7993 5366 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Gladden Hub,"71-75 Shelton St, London, WC2H 9JQ",gladdenhub.com,020 3963 9320 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
London Marriott Hotel County Hall,"London County Hall, Westminster Bridge Road, London, SE1 7PB",marriott.com,020 7928 5200 ,"https://c.yell.com/t_bigRect,f_auto/ea11deeb-0fc1-416e-a2f0-d9fb21f77c35_image_jpeg.jpg"
Sanctum Soho Hotel,"20 Warwick St, London, W1B 5NF",sanctumsoho.com,020 7292 6100 ,"https://c.yell.com/t_bigSquare,f_auto/d86523cd-775a-43d0-8b7e-ed41c4e316e0_image_jpeg.jpg"
St James's Hotel & Club,"7 Park Place, London, SW1A 1LS",stjamesshotelandclub.com,020 7316 1600 ,"https://c.yell.com/t_bigSquare,f_auto/1c68267c-ba73-4711-a62d-203be52344c2_image_jpeg.jpg"
Hub By Premier Inn London Soho,"Hopkins St, London, W1F 0DP",premierinn.com,0333 321 3104 ,"https://c.yell.com/t_bigRect,f_auto/b3ed59fb-a518-41c1-b0c9-12f72d80cbd6_image_jpeg.jpg"
"Club Quarters Hotel, London, Lincoln's Inn Fields","61 Lincoln's Inn Fields, London, WC2A 3JW",,020 7404 6640 ,"https://c.yell.com/t_bigRect,f_auto/a10222bd-9024-4bbb-8813-30f8a414f5d1_image_jpeg.jpg"
The Washington Mayfair Hotel,"5 Curzon St, London, W1J 5HE",washington-mayfair.co.uk,020 7499 7000 ,"https://c.yell.com/t_bigSquare,f_auto/3904ec80-82ee-4b95-be36-1888f5f71e2a_image_jpeg.jpg"
Hilton London Green Park,"Half Moon St, London, W1J 7BN",www3.hilton.com,020 7629 7522 ,"https://c.yell.com/t_bigRect,f_auto/89819c68-149a-477c-bb5b-33067c0462ed_image_jpeg.jpg"
Blue Orchid Hotels,"50 Broadway, London, SW1H 0RG",blueorchid.com,020 7834 4740 ,"https://c.yell.com/t_bigRect,f_auto/3269a838-9556-44b9-ad14-6cb47e04f213_image_png.png"
The Bloomsbury Hotel,"16-22 Great Russell St, London, WC1B 3NN",doylecollection.com,020 7347 1000 ,"https://c.yell.com/t_bigSquare,f_auto/776bdd15-dcde-4a6e-b71d-79364e45bc5b_image_jpeg.jpg"
Athenaeum Hotel & Resident,"116 Piccadilly, London, W1J 7BJ",athenaeumhotel.com,020 7499 3464 ,"https://c.yell.com/t_bigRect,f_auto/4a1aebae-0612-437a-bd49-fe66710d3150_image_jpeg.jpg"
Premier Inn London Waterloo (Westminster Bridge),"85 York Rd, London, SE1 7NJ",premierinn.com,0333 321 9302 ,"https://c.yell.com/t_bigRect,f_auto/3c31bd36-7733-4103-9125-8492f2d99fee_image_jpeg.jpg"
The Chesterfield Mayfair Hotel,"35 Charles St, London, W1J 5EB",redcarnationhotels.com,020 7491 2622 ,"https://c.yell.com/t_bigSquare,f_auto/733d2ec5-3d1c-43de-9e0b-7ab79c9dfb1f_image_jpeg.jpg"
Travelodge Hotels Ltd,"166 High Holborn, London, WC1V 6PB",travelodge.co.uk,020 3195 4521 ,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Brown's Hotel,"33 Albemarle St, London, W1S 4BP",roccofortehotels.com,020 7493 6020 ,"https://c.yell.com/t_bigSquare,f_auto/4a86e8ea-cbac-403e-9f94-9c53ddc5828d_image_jpeg.jpg"
Gresham Hotel,"36-38 Bloomsbury St, London, WC1B 3QJ",greshamhotellondon.com,020 7580 4232 ,"https://c.yell.com/t_bigSquare,f_auto/08de58c1-4842-408b-9357-cabf522009e7_image_jpeg.jpg"
Claridge's,"41 Brook St, London, W1K 4HR",claridges.co.uk,020 7629 8860 ,"https://c.yell.com/t_bigSquare,f_auto/95ff4383-635b-4586-9c2f-fa424b138708_image_jpeg.jpg"
"The Sanctuary House Hotel, Westminster","33 Tothill St, London, SW1H 9LA",sanctuaryhousehotel.co.uk,020 7799 4044 ,"https://c.yell.com/t_bigSquare,f_auto/d0c05bef-5908-4891-837c-9e430678a106_image_jpeg.jpg"
"Radisson Blu Edwardian, Bloomsbury Street","9-13 Bloomsbury St, London, WC1B 3QD",radissonblu-edwardian.com,020 7636 5601 ,"https://c.yell.com/t_bigRect,f_auto/b732d05a-3040-4262-9d6a-da1f95103c4e_image_jpeg.jpg"
The Fox Club,"46 Clarges St, London, W1J 7ER",foxclublondon.com,020 7495 3656 ,"https://c.yell.com/t_bigSquare,f_auto/988566b5-dd25-40e2-a363-b189ff7374c3_image_jpeg.jpg"
Garth Hotel,"69 Gower St, London, WC1E 6HJ",garthhotel-london.com,020 7636 5761 ,"https://c.yell.com/t_bigSquare,f_auto/45aba063-09c4-4ac3-b854-e1283e4847ae_image_jpeg.jpg"
The Carnaby within Courthouse Hotel,"19-21 Great Marlborough St, London, W1F 7HL",courthousehotel.co.uk,020 7297 5555 ,"https://c.yell.com/t_bigSquare,f_auto/1b5f79a5-c06d-461b-ada9-e3f14fb02d75_image_jpeg.jpg"
St Giles Hotel,"Bedford Avenue, London, WC1B 3GH",stgiles.com,020 7300 3000 ,"https://c.yell.com/t_bigSquare,f_auto/0242e2b1-4d26-48cc-a418-6f68099470d9_image_jpeg.jpg"
